"Neighborhood","Time_Col","gi_star","p_sim","significance"
"Arbutus Ridge",2010-01-31,1.31658012997153,0.315,""
"Arbutus Ridge",2010-02-28,3.51514030617048,0.255,""
"Arbutus Ridge",2010-03-31,2.37772352834958,0.26,""
"Arbutus Ridge",2010-04-30,4.95685667843653,0.29,""
"Arbutus Ridge",2010-05-31,2.71203771039328,0.32,""
"Arbutus Ridge",2010-06-30,3.67621929685556,0.255,""
"Arbutus Ridge",2010-07-31,2.88758432855565,0.22,""
"Arbutus Ridge",2010-08-31,2.98571261429381,0.135,""
"Arbutus Ridge",2010-09-30,3.29988487585176,0.085,""
"Arbutus Ridge",2010-10-31,1.38575728259554,0.19,""
"Arbutus Ridge",2010-11-30,3.76761748507411,0.175,""
"Arbutus Ridge",2010-12-31,3.17387629829427,0.265,""
"Arbutus Ridge",2011-01-31,3.01676183272973,0.285,""
"Arbutus Ridge",2011-02-28,1.73591040262378,0.395,""
"Arbutus Ridge",2011-03-31,3.29176939229696,0.37,""
"Arbutus Ridge",2011-04-30,4.22838004795353,0.445,""
"Arbutus Ridge",2011-05-31,2.40209537200545,0.425,""
"Arbutus Ridge",2011-06-30,4.39615605822912,0.35,""
"Arbutus Ridge",2011-07-31,2.28970677368323,0.21,""
"Arbutus Ridge",2011-08-31,4.9779278503034,0.115,""
"Arbutus Ridge",2011-09-30,4.6250766153413,0.24,""
"Arbutus Ridge",2011-10-31,4.56411658031991,0.325,""
"Arbutus Ridge",2011-11-30,2.85265179967167,0.48,""
"Arbutus Ridge",2011-12-31,3.07357998790721,0.29,""
"Arbutus Ridge",2012-01-31,2.89060978824911,0.25,""
"Arbutus Ridge",2012-02-29,3.25373277738292,0.235,""
"Arbutus Ridge",2012-03-31,3.03319978238141,0.235,""
"Arbutus Ridge",2012-04-30,4.30363656025726,0.18,""
"Arbutus Ridge",2012-05-31,5.02760367188049,0.26,""
"Arbutus Ridge",2012-06-30,2.49458904645563,0.445,""
"Arbutus Ridge",2012-07-31,3.47235710307816,0.47,""
"Arbutus Ridge",2012-08-31,2.39095015407393,0.265,""
"Arbutus Ridge",2012-09-30,4.13856933744381,0.31,""
"Arbutus Ridge",2012-10-31,1.72356090795759,0.455,""
"Arbutus Ridge",2012-11-30,1.75952244865007,0.22,""
"Arbutus Ridge",2012-12-31,5.69974711688449,0.23,""
"Arbutus Ridge",2013-01-31,3.90103524510291,0.49,""
"Arbutus Ridge",2013-02-28,1.66866500008379,0.29,""
"Arbutus Ridge",2013-03-31,1.65558642386705,0.435,""
"Arbutus Ridge",2013-04-30,2.53455517953328,0.225,""
"Arbutus Ridge",2013-05-31,2.64003039377821,0.2,""
"Arbutus Ridge",2013-06-30,3.48382783637003,0.21,""
"Arbutus Ridge",2013-07-31,3.20768309483409,0.185,""
"Arbutus Ridge",2013-08-31,3.31061031944576,0.23,""
"Arbutus Ridge",2013-09-30,4.11877082027517,0.245,""
"Arbutus Ridge",2013-10-31,2.72627868555052,0.165,""
"Arbutus Ridge",2013-11-30,2.55115828767503,0.17,""
"Arbutus Ridge",2013-12-31,4.02568003160285,0.11,""
"Arbutus Ridge",2014-01-31,4.11203016332844,0.2,""
"Arbutus Ridge",2014-02-28,3.06089265843263,0.26,""
"Arbutus Ridge",2014-03-31,3.08082924486738,0.24,""
"Arbutus Ridge",2014-04-30,3.00275089270826,0.28,""
"Arbutus Ridge",2014-05-31,2.02105352294504,0.165,""
"Arbutus Ridge",2014-06-30,3.02054667999807,0.095,""
"Arbutus Ridge",2014-07-31,2.36275433721613,0.1,""
"Arbutus Ridge",2014-08-31,2.63543764262561,0.015,"***"
"Arbutus Ridge",2014-09-30,4.23261218491544,0.015,"***"
"Arbutus Ridge",2014-10-31,3.99140717878004,0.075,""
"Arbutus Ridge",2014-11-30,2.95933106583193,0.11,""
"Arbutus Ridge",2014-12-31,2.8575045043457,0.165,""
"Arbutus Ridge",2015-01-31,2.7246563781712,0.09,""
"Arbutus Ridge",2015-02-28,4.01493975426919,0.09,""
"Arbutus Ridge",2015-03-31,3.4800309442082,0.22,""
"Arbutus Ridge",2015-04-30,2.5230019507605,0.25,""
"Arbutus Ridge",2015-05-31,2.71156720208634,0.18,""
"Arbutus Ridge",2015-06-30,3.15158126217639,0.235,""
"Arbutus Ridge",2015-07-31,1.98933735802631,0.18,""
"Arbutus Ridge",2015-08-31,3.45722015331464,0.095,""
"Arbutus Ridge",2015-09-30,2.69365840891577,0.12,""
"Arbutus Ridge",2015-10-31,2.29578006310831,0.05,""
"Arbutus Ridge",2015-11-30,2.00036783171166,0.02,"***"
"Arbutus Ridge",2015-12-31,3.28373965858469,0.01,"***"
"Arbutus Ridge",2016-01-31,2.72522549117268,0.025,"***"
"Arbutus Ridge",2016-02-29,4.12835957977193,0.015,"***"
"Arbutus Ridge",2016-03-31,2.45182901454887,0.015,"***"
"Arbutus Ridge",2016-04-30,3.19419818378803,0.025,"***"
"Arbutus Ridge",2016-05-31,2.79824387088829,0.025,"***"
"Arbutus Ridge",2016-06-30,3.48132789720576,0.005,"***"
"Arbutus Ridge",2016-07-31,3.14293152206562,0.015,"***"
"Arbutus Ridge",2016-08-31,3.95879731869628,0.015,"***"
"Arbutus Ridge",2016-09-30,2.99537477404579,0.045,"***"
"Arbutus Ridge",2016-10-31,2.03194517079623,0.045,"***"
"Arbutus Ridge",2016-11-30,2.93748251226425,0.025,"***"
"Arbutus Ridge",2016-12-31,2.95295393373901,0.045,"***"
"Arbutus Ridge",2017-01-31,3.00771594760435,0.055,""
"Arbutus Ridge",2017-02-28,3.91791246537911,0.075,""
"Arbutus Ridge",2017-03-31,1.94513646937261,0.09,""
"Arbutus Ridge",2017-04-30,3.11488327146071,0.035,"***"
"Arbutus Ridge",2017-05-31,3.09054830356352,0.045,"***"
"Arbutus Ridge",2017-06-30,2.62517836361694,0.04,"***"
"Arbutus Ridge",2017-07-31,2.86428267613159,0.025,"***"
"Arbutus Ridge",2017-08-31,2.509295008806,0.015,"***"
"Arbutus Ridge",2017-09-30,2.95859670581134,0.005,"***"
"Arbutus Ridge",2017-10-31,2.29412730598756,0.01,"***"
"Arbutus Ridge",2017-11-30,2.490876458706,0.005,"***"
"Arbutus Ridge",2017-12-31,2.64762069745097,0.015,"***"
"Arbutus Ridge",2018-01-31,2.25092915192524,0.01,"***"
"Arbutus Ridge",2018-02-28,3.88941688107343,0.015,"***"
"Arbutus Ridge",2018-03-31,2.89885971778943,0.02,"***"
"Arbutus Ridge",2018-04-30,2.64656742571474,0.01,"***"
"Arbutus Ridge",2018-05-31,3.46757108700969,0.025,"***"
"Arbutus Ridge",2018-06-30,2.56178443965257,0.015,"***"
"Arbutus Ridge",2018-07-31,3.28408090907987,0.015,"***"
"Arbutus Ridge",2018-08-31,2.70860856079781,0.01,"***"
"Arbutus Ridge",2018-09-30,3.09516367484924,0.005,"***"
"Arbutus Ridge",2018-10-31,3.35829631497991,0.005,"***"
