"Neighborhood","Time_Col","gi_star","p_folded_sim"
"Downtown",2010-01-01,3.93251629982425,0.04
"Hastings-Sunrise",2010-01-01,0.203058337890882,0.225
"Kerrisdale",2010-01-01,-1.80003221340013,0.025
"Marpole",2010-01-01,-0.66110468696933,0.385
"Oakridge",2010-01-01,-1.40125885198732,0.07
"Riley Park",2010-01-01,-0.0231996498673399,0.38
"South Cambie",2010-01-01,-1.18065340852302,0.385
"Shaughnessy",2010-01-01,-1.49057750397658,0.185
"Victoria-Fraserview",2010-01-01,0.00877047004657084,0.28
"Arbutus Ridge",2010-01-01,-1.6726539303104,0.1
"Grandview-Woodland",2010-01-01,-0.0601403660336326,0.33
"Kensington-Cedar Cottage",2010-01-01,0.548736683004409,0.495
"Killarney",2010-01-01,-0.746524215151628,0.465
"Kitsilano",2010-01-01,1.3227561614098,0.135
"Strathcona",2010-01-01,1.1111618555406,0.06
"Sunset",2010-01-01,0.0581042012312185,0.455
"West Point Grey",2010-01-01,-0.96932407781316,0.385
"Dunbar-Southlands",2010-01-01,-1.57617875979812,0.105
"Fairview",2010-01-01,1.82212356683263,0.085
"Mount Pleasant",2010-01-01,1.36020871681651,0.12
"Renfrew-Collingwood",2010-01-01,0.0776813061267755,0.485
"West End",2010-01-01,3.7768850847704,0.02
"Downtown",2010-02-01,4.77447374121614,0.005
"Hastings-Sunrise",2010-02-01,-0.195380371123842,0.275
"Kerrisdale",2010-02-01,-2.07432953410716,0.035
"Marpole",2010-02-01,-1.22698873065773,0.16
"Oakridge",2010-02-01,-2.12420275163109,0.015
"Riley Park",2010-02-01,-0.32680042332786,0.385
"South Cambie",2010-02-01,-0.850826690260902,0.495
"Shaughnessy",2010-02-01,-1.22550158747947,0.31
"Victoria-Fraserview",2010-02-01,-0.455938700800355,0.465
"Arbutus Ridge",2010-02-01,-1.66197010291742,0.16
"Grandview-Woodland",2010-02-01,0.485354100851991,0.3
"Kensington-Cedar Cottage",2010-02-01,-0.059951487471558,0.425
"Killarney",2010-02-01,-0.611387608972769,0.5
"Kitsilano",2010-02-01,1.55207739787476,0.15
"Strathcona",2010-02-01,2.39927095740077,0.045
"Sunset",2010-02-01,-1.0477122053626,0.365
"West Point Grey",2010-02-01,-1.03596233742608,0.385
"Dunbar-Southlands",2010-02-01,-1.63255470286579,0.125
"Fairview",2010-02-01,2.52462375019114,0.125
"Mount Pleasant",2010-02-01,2.27149524753345,0.065
"Renfrew-Collingwood",2010-02-01,-0.205907800361451,0.405
"West End",2010-02-01,3.85290091856216,0.005
"Downtown",2010-03-01,4.48139909467905,0.025
"Hastings-Sunrise",2010-03-01,-0.365985055915319,0.365
"Kerrisdale",2010-03-01,-1.6743392321216,0.035
"Marpole",2010-03-01,-0.970960353261679,0.24
"Oakridge",2010-03-01,-1.52012096903958,0.04
"Riley Park",2010-03-01,-0.303153064312765,0.43
"South Cambie",2010-03-01,-0.813327601202542,0.495
"Shaughnessy",2010-03-01,-1.35721975344623,0.22
"Victoria-Fraserview",2010-03-01,-0.452586077220479,0.415
"Arbutus Ridge",2010-03-01,-1.4462054068355,0.07
"Grandview-Woodland",2010-03-01,-0.349084063718914,0.385
"Kensington-Cedar Cottage",2010-03-01,-0.244613654365684,0.45
"Killarney",2010-03-01,-0.559542025613642,0.435
"Kitsilano",2010-03-01,1.41483855835204,0.105
"Strathcona",2010-03-01,1.74592870936652,0.04
"Sunset",2010-03-01,-0.714360747073915,0.375
"West Point Grey",2010-03-01,-1.13320841303889,0.325
"Dunbar-Southlands",2010-03-01,-1.46690580953581,0.045
"Fairview",2010-03-01,2.20237520167571,0.08
"Mount Pleasant",2010-03-01,1.621098155413,0.085
"Renfrew-Collingwood",2010-03-01,-0.245582050217349,0.45
"West End",2010-03-01,3.83584337292668,0.015
"Downtown",2010-04-01,4.44546104648661,0.02
"Hastings-Sunrise",2010-04-01,-0.192113816852366,0.38
"Kerrisdale",2010-04-01,-1.60787267496318,0.085
"Marpole",2010-04-01,-0.692393878696486,0.285
"Oakridge",2010-04-01,-1.56023159152125,0.075
"Riley Park",2010-04-01,-0.583379062679138,0.48
"South Cambie",2010-04-01,-0.878368354685896,0.47
"Shaughnessy",2010-04-01,-1.06429107687833,0.445
